start_seconds	end_seconds	start	end	section	text
0.000	2.080	00:00:00	00:00:02	early	Všuříme s vzmělí, že to je v důmáříční vzmělí,
2.980	4.580	00:00:02	00:00:04	early	a na vůržitáku si,
5.860	7.380	00:00:05	00:00:07	early	a je žízení,
7.380	8.900	00:00:07	00:00:08	early	a na zále, musíme trošlo,
8.900	9.880	00:00:08	00:00:09	early	o těsta rého,
9.880	11.000	00:00:09	00:00:11	early	a na důmáříční,
11.000	12.120	00:00:11	00:00:12	early	a na zále,
18.140	19.760	00:00:18	00:00:19	early	a třeze si,
19.760	20.740	00:00:19	00:00:20	early	a toho,
20.740	21.720	00:00:20	00:00:21	early	a
22.400	23.280	00:00:22	00:00:23	early	poprosti nenej,
23.280	24.260	00:00:23	00:00:24	early	a na vůržitáku si,
24.260	24.860	00:00:24	00:00:24	early	a na vůržitáku si,
24.860	25.720	00:00:24	00:00:25	early	a na zále,
25.720	26.680	00:00:25	00:00:26	early	a na zále,
26.680	27.700	00:00:26	00:00:27	early	a na zále,
27.700	58.360	00:00:27	00:00:58	early	a zále,
58.360	59.580	00:00:58	00:00:59	early	ile nevíká záku,
59.580	60.440	00:00:59	00:01:00	early	a nevíká záku,
60.440	61.640	00:01:00	00:01:01	early	a nevíká zále,
65.260	67.940	00:01:05	00:01:07	early	I zeslávám, že jen to hledy komu,
69.040	70.940	00:01:09	00:01:10	early	vykud se tělejí kvot čistorači,
70.940	73.300	00:01:10	00:01:13	early	když je kskrát se mohá, které hledy.
73.740	74.840	00:01:13	00:01:14	early	Akkud se tání.
74.840	77.160	00:01:14	00:01:17	early	To mám, křičá, pro mě vždyskět se,
77.160	80.180	00:01:17	00:01:20	early	zkusit mám, křičá, že pro mělit křitora.
80.420	83.880	00:01:20	00:01:23	early	Křičá, křičá, křičá, křičá, křičá, křičá, křičá, křičá.
84.880	87.660	00:01:24	00:01:27	early	Odbožíme já, když je křičá, křičá, křičá, křičá, křičá.
87.660	92.720	00:01:27	00:01:32	early	Záká vlastí, si kdo podkónkou synci a zákáme nevědit,
92.720	95.180	00:01:32	00:01:35	early	a vyhoda v měl.
95.180	103.460	00:01:35	00:01:43	early	I třiž, kdo nám, třiž, do nám třiž, kdo nám třiž, taká,
103.460	109.020	00:01:43	00:01:49	early	že přesažen zkáme na douší boli, kde já děli spektu zbeně nej.
139.020	145.020	00:02:19	00:02:25	early	Když stávným tělě, když stávným tělě, když stávným tělě.
169.020	173.600	00:02:49	00:02:53	early	...Kdy máte je všechny, tak je to kez mez Cejko.
173.600	176.840	00:02:53	00:02:56	early	...Kdy máte si rád, bude měla.
176.840	181.000	00:02:56	00:03:01	early	A je tě se všetě vám dráš.
181.000	185.240	00:03:01	00:03:05	early	A já na čeko sejte, měla.
185.240	188.400	00:03:05	00:03:08	early	A je tě se je hodně ná vez na brášlou.
188.400	195.480	00:03:08	00:03:15	early	...
195.480	198.180	00:03:15	00:03:18	early	...Kdy máte všetě, měla.
198.180	200.180	00:03:18	00:03:20	early	Zasejíme.
200.180	201.200	00:03:20	00:03:21	early	Trasný nete.
204.200	206.180	00:03:24	00:03:26	early	No, že ji vítus v spiků.
206.180	208.200	00:03:26	00:03:28	early	Řepřište k víasu, jsem rozkoka.
210.180	211.180	00:03:30	00:03:31	early	Přište.
211.180	213.180	00:03:31	00:03:33	early	Tak, že jsem si kто stát.
215.300	216.300	00:03:35	00:03:36	early	Prográsoj.
216.300	218.800	00:03:36	00:03:38	early	Prográco je zkvále,
220.140	222.740	00:03:40	00:03:42	early	a chodáš likláclé třička,
222.740	224.080	00:03:42	00:03:44	early	že ty před sittingž,
224.080	226.040	00:03:44	00:03:46	early	jít nechodem delečně tak byť rád,
478.360	489.090	00:07:58	00:08:09	early	Pro tady všichu na vzrku, a na tady dočia.
691.240	693.240	00:11:31	00:11:33	early	Máme zváště jedná jim,
693.240	695.240	00:11:33	00:11:35	early	a soumasky vápad,
695.240	696.240	00:11:35	00:11:36	early	a plná věříde,
696.240	697.240	00:11:36	00:11:37	early	kdybylo placit,
697.240	699.240	00:11:37	00:11:39	early	a všávala,
699.240	700.240	00:11:39	00:11:40	early	a vysím,
700.240	701.240	00:11:40	00:11:41	early	se tě zinskoula.
701.240	702.240	00:11:41	00:11:42	early	Věrně nám,
702.240	703.240	00:11:42	00:11:43	early	a nej,
704.240	705.240	00:11:44	00:11:45	early	a věrně nám,
705.240	706.240	00:11:45	00:11:46	early	a nechlo.
706.240	707.240	00:11:46	00:11:47	early	Já mě nínám,
707.240	708.240	00:11:47	00:11:48	early	a neká,
708.240	709.240	00:11:48	00:11:49	early	já věřště,
709.240	710.240	00:11:49	00:11:50	early	a nám,
710.240	711.240	00:11:50	00:11:51	early	nám, a neká,
711.240	712.240	00:11:51	00:11:52	early	já věřště,
712.240	713.240	00:11:52	00:11:53	early	a nám, a neká,
713.240	714.240	00:11:53	00:11:54	early	a neká,
714.240	715.240	00:11:54	00:11:55	early	já věřště,
715.240	716.240	00:11:55	00:11:56	early	a nám, a neká,
716.240	717.240	00:11:56	00:11:57	early	já věřště,
717.240	718.240	00:11:57	00:11:58	early	já věřště,
750.380	754.000	00:12:30	00:12:34	early	Nemé, nejtežké dělá je, jen můj tak vzpěrů.
754.820	756.780	00:12:34	00:12:36	early	Vlupěst vám ten jen?
758.100	761.580	00:12:38	00:12:41	early	Tak, po tady mě nášte vás tak, tak hídnás.
761.580	765.600	00:12:41	00:12:45	early	Já si, tak já je zjepat, pro sojě konečná zbomnu.
765.600	768.440	00:12:45	00:12:48	early	Protože, to mům mě věrně, mám, nebě tak bylu předvoklu,
768.440	773.640	00:12:48	00:12:53	early	dírájí tří, a příjem, prerovnáce, kři, a no, věr vám větá.
773.640	777.560	00:12:53	00:12:57	early	Jeho vůžuvě tady všechny.
777.560	779.760	00:12:57	00:12:59	early	Tady už tak hodně ztrav.
779.760	782.760	00:12:59	00:13:02	early	Je prahal, ale hodně dostám zmůry.
782.760	787.100	00:13:02	00:13:07	early	Takže nejakou zvoly, vám ráně tady rozbráš.
787.100	790.660	00:13:07	00:13:10	early	A takže takže nekdyž všechny.
790.660	794.780	00:13:10	00:13:14	early	A takže takže všechny.
794.780	797.420	00:13:14	00:13:17	early	A takže takže.
797.720	802.720	00:13:17	00:13:22	early	No a takže takže tady už všechny.
892.720	895.720	00:14:52	00:14:55	early	Tady vždyu záčitou výdeš. Čo násta se na sávují cysátky?
895.720	897.720	00:14:55	00:14:57	early	Tak ještů do vědlí si ale...
897.720	901.720	00:14:57	00:15:01	early	Jo, tak to já bychá si chát pro vlážení cizeptán,
901.720	903.720	00:15:01	00:15:03	early	tak to nemám je teda,
903.720	906.720	00:15:03	00:15:06	early	posvětá tůcetem výdešelé materiálo,
906.720	910.720	00:15:06	00:15:10	early	tak to já bychá si chát pro vlážení cizeptán,
910.720	912.720	00:15:10	00:15:12	early	takže iný vloměm materiálo,
